"Text","Is Delay"
"truck dog wet dirt lost traction","0"
"able empty 1 tanks second tank filled sand cannot vac","0"
"possession site required asap allow contract works commence","0"
"existing concrete footing found whilst excavating sw 140 near pit 11 140","0"
"sub grade replacement s4 abutment b 500t delivered","0"
"swms review placement concrete","0"
"would like nominate drew hanstein","0"
"fence boundaries around heritage site top cut","0"
"drilling mc00 rock cut borrow blasting","0"
"service location nbn mc00 mckinnon land","0"
"no work due hail","1"
"asbestos near excavation sydney trains cables","1"
"batteries stolen vms speed sign boards overnightnoticed tmr inspector way sight approx 6am","1"
"subsequently asset located several locations confirm alignment","0"
"breaking black pitch surrounding st services assumed lead substance uncovered","1"
"nathan brakey","0"
"opted different strategy rock delivery subgrade replacement","0"
"take 5 completed temporary awning construction","0"
"pipe exposed","1"
"stripping loading stockpiling topsoil mc00 cut","0"
"access road construction","0"
"rain","0"
"windy scattered clouds cold","1"
"panel install cancelled due high winds","1"
"risk around mix design design shop drawings commence casting panels","0"
"delivery 259 site work bridge backfill team","0"
"witnessed saturday attention curing launceston yard preparation casting monday 10am","0"
"held site discussion associated hazards new controls","0"
"17mm rain overnight making ground conditions extremely wet","0"
"overcast","0"
"head power line flags installed entry exit access road illawarra road","0"
"redundant ausgrid conduit","1"
"verbal driver vehicle escorted vehicle site","0"
"cage yard","0"
"recommencing w 170 trench excavation foundation found unsuitable","0"
"1 mackinnon hill approximately ch2800 drill rig commence monday 1st october","0"
"something discovered","1"
"behaviour breach codeofconduct","0"
"environmental site inspection rail bridges","0"
"cloudy afternoon rain","0"
"5t excavator remove 2hrs","0"
"weather condition","1"
"s3 foundations approved","0"
"access s3","0"
"met qavs devonport today rod parker attend tasspan 19 10 18 prework inspection","0"
"1245pm 23 07 18 robson excavating within footpath vicinity front line hobbies flh ferrule water main connection flh burst completely connection","0"
"equipment mobilised rup12 access laydown works","0"
"downer instructed robson bring pit surface class paver infill lid new footpath installed area","0"
"breached sec 682 hold points submission designs walls qav due design not approved program requires commencement casting","0"
"plumbers newcastle station hdc arrived site perform investigations potential blockage pipe due hdc construction workers using toilets","0"
"removal required","1"
"concrete trough located","0"
"not known exactly wheels stolen","1"
"site radios ordered people foot","0"
"7 piles driven","0"
"no work cyclon","1"
"attended site meeting drill blast subcontractors including zero harm discussion actions","0"
"fob1 slab prep","0"
"concrete mix design approval status","0"
"began access tracks s3 site office","0"
"damaged manhole","1"
"issues raised","1"
"sediment basin s4","0"
"306 312 365 333 261 283 362 working","0"
"arrival ex33 ready work mc00 cut tomorrow","0"
"elliott thomas","0"
"strong winds across site","1"
"water main rupture","1"
"mc 01 widening south school masters rd west side","0"
"conducted mward harvey","0"
"heritage consultant required notification inspection prior removal","0"
"heavy rain past days continued rain day attributed certain works cancelled additional works required slow progress","1"
"material suitable passed fill placement","0"
"dust generated construction activities not adequately controlled","1"
"windy","1"
"team good planning meeting today identified interfaces cause delays program working together towards mitigating delays well reviewing impact construction program options gain back anytime lost","0"
"traffic crew","0"
"daracon notified utilities company","0"
"new project office hard stand placed no pedestrian access around plant working area","0"
"access s2","0"
"unidentified steel pipe encountered wickham compound south station street","1"
"robson arrange spiking cables","0"
"windy","1"
"hwc inspected clash proposes relocation 1 x valve outside dke","0"
"4x excavations foundation pass roller trial test","0"
"connection previously exposed approx","0"
"aframe safety improvements","0"
"metal spike sticking site access road potential harm plant damage stake removed","0"
"open drain along western side mcd0 alignment","0"
"pkg rain started 05 10 2018 morning","0"
"sure search vacuum truck spent approx","0"
"weekly management meeting","0"
"blast 4 conducted today second detention basin","0"
"package undergoing clearing grubbing activities ceased due overnight rain","1"
"geotech s3","0"
"hanson s40160 s50 s55 still supt","0"
"two personal followed procedure put fire hot works permit","0"
"upon closer inspection discovered battery box forcibly opened batteries removed sometime easter weekend","0"
"need ensure items suitable restrained high wind events","0"
"s3 subgrade replacement","0"
"access roads","0"
"geotechnical drilling changed verification bedrock today improving hole time 5","0"
"police report location filed forensics attending site","0"
"installed vsjv banner front temporary site office","0"
"pkg b weather event 25 08 2018 midnight","1"
"access establishment ongoing waste rock taswater project utilized base track poor ground conditions","0"
"exclusion zone put place traffic control set managed pedestrians walking within proximity strike","1"
"345 meeting 20 9 18","0"
"stop gale","1"
"commenced stripping access s5 s6","0"
"works include paver install block 7 footpaths cancelled","0"
"junntan pile driver made contact parked boomlift damage fairing","1"
"days getting warmer need ensure team members well hydrated","0"
"16 05 18 known st rail line removal recommence","0"
"clevis galvanizing increased 4 000 per day","0"
"gate protect stock carting","0"
"permanent signs west perth installed","0"
"23 04 18 unknown pipe potential asbestos found removing hard pavement northern footpath opposite market st","1"
"heritage footing uncovered kuwumi","0"
"excavation mc00 rock cut mcd0 embankment","0"
"complaint occurred","1"
"prepare site forecast wet","1"
"need remain focused completing project establishment works accordance cmp without compromise","0"
"base preparation prior placing embankment","0"
"tmp signage installation delay due supplier error","1"
"civil team progress meeting inspecting cut excavation face","0"
"14 05 18 unknown 600dn vc pipe","0"
"complaint kerry longworth house building made chris jeffery robson civil","0"
"compound access road","0"
"tom steers","0"
"clash confirmed instruction given remove","0"
"168 370 312 365","0"
"trough contains cable coated pitch","0"
"water silt detention basins","0"
"clearing southern frog culvert survey works","0"
"delay truck pump moving site site","1"
"replacing sewer crossing east w 180 crossing existing storm water property connection damaged due earthenware pipe undermined collapsing","1"
"environmental controls implement","0"
"began construction access road bridge sites","0"
"works started removing redundant asbestos water main abutment","0"
"began gorse stripping borrow pit","0"
"imported subgrade replacement s3 s4 mcb0 formation abutments","0"
"collapsed culvert","1"
"package number 26 s09 frog culvert south due jv 21sep18","0"
"no damage injury significant potential","0"
"piling s4 abutment","0"
"mackinnon fence variation approval dsg","0"
"work programmed commence friday 31 8 18","0"
"potential happen","1"
"discovered ndd water service","0"
"stay safe","0"
"met drill blast contractors discuss scope","0"
"pipe pit cooper st","0"
"no stop signs crossing gates currently crossing process obtaining clearance restrictions put place tasrail","0"
"pits damaged 1 x p5 vocus pit plastic damaged pit full dirt 1 x p8 aarnet pit frame pit completely broken full dirt 1 x p8 aapt pit collapsed wall full dirt asset owner requires replacement pit","0"
"jemena perfored drill tap friday 04 05 2018 deteremined pipe redundant","0"
"hole blown pile enable use ground release shackle prevent wh","0"
"continue piling abutment b s4","0"
"mcd0 proof roll","0"
"site compound","0"
"362 evan","0"
"scheduled commence casting 19 10 18 using mix design zt402140","0"
"items previous toolbox actions discussed","0"
"intersection robson hit newly installed tcs power conduit","1"
"heavy rain contributed works ceasing early day","1"
"s2 geotechnical","0"
"access road s5 s6","0"
"vibration preassessment install monitor done week","0"
"rock breaking borrow pit haul road","0"
"fob1 slab finished","0"
"312 brendan h bridge site hardstand","0"
"345 meeting 26 10 18","0"
"415pm sam paving man stpm workers attempted incorrectly remove hydrant stand pipe hydrant","1"
"stripping mc00 mcc0 cut","0"
"ongoing required","0"
"geotechnical investigation works","0"
"package b wet weather delay","1"
"affecting ease clevis placement","0"
"connection found","1"
"rock fill 100 abutment b","0"
"blocks assessed recorded excavation director heritage consultant surveyed","0"
"piling splicing activity","0"
"reference traffic management diary","0"
"water not exit site east side mc01","0"
"cart taswater left rock s3 access tracks along import","0"
"ground improvement work abutments making subtitle crane junntan etc","0"
"exposing services northern footpath gas crossing requires new installation trench collapsed due unstable sand material introduction water ndd works","1"
"water proceeded fill trench within footpath maintained level not affect pedestrians flow water exited via telstra manhole stormwater pit","0"
"give good indication failed subgrade treatment issues","0"
"sediment settlement ponds","0"
"escalated tasrail direction redesign two bridges owen","0"
"gas pipe approximately 40mm cover within footpath","0"
"nb obtaining relocating signage","0"
"kmr drill rig truck","0"
"package rain event started 13 12 2018 midnight","0"
"p413 setout drive","0"
"tas water subcontractors currently working inside environmental no go zone ch2750","0"
"moisture levels high place fill embankment widening works","1"
"stage no delays","0"
"access roads","0"
"started cleaning tree heads mc00 mcd0 mcc0 rock cut","0"
