Text,Is Delay
365 s3 access roads,0
service found running longitudinally southern side hunter st,0
gvm confirm 24t minimum per specification section 204,0
flagged tn lead time 16 weeks weekly planning meeting,0
stripping,0
speed reduced 70km h along illawarra road,0
rock breaking borrow pit haul road,0
box gets smaller shorter straps bridge wing walls,0
borrow pit haul road,0
ncc confirm pipe redundant,0
clear direct comms plant operators delivery trucks,0
excavation slab fob1,0
plant got bogged,1
indicative rmx value 4000kn,0
silt detention ponds,0
tree root surround servic,1
investigation involved excavation identifying previous investigated services drilling breaking cast iron pipes electrical rail consultant input,0
time 1400 b,0
certificates conformance cited,0
works progressing well,0
450pm jemena completed repairs turned gas back business,0
vac truck backing outside 291 hunter street ran excavators ripper flicked penetrated fuel tank,0
found approx,0
geotechnical drilling structure s4,0
reference daily diary,0
via tech onsite install traffic management along illawarra road,0
st johns emailed training defibrillators onsite,0
stay safe watch work mates,0
commenced excavation cut,0
embankment placement progressing well,0
frog roll mcd0 mc00 alignments south rock cut,0
dump truck tyre made contact light tower outrigger resulting bent outrigger,0
clean hail,1
wind gusts 4060kph rain made haul rd access limited,1
opened access new site office compound,0
stripping borrow,0
light vehicle checks site vehicles commenced,0
hot windy,1
general yard clean,0
completion northern environmental no go zone awaiting signage,0
robson mark new concrete pavement posi track,0
temp office cec,0
truck unloading safety platforms arrived site,0
excavated single barrel culvert,0
junttan pile rig arriving onsite,0
excavating w 162 trench unstable ground required additional support street light,0
workshop access road,0
head power crown stockpile,0
hwc water emergency called immediately representative arrived 230pm,0
dean hibble,0
site establishment,0
following conversation project zh advisor ip instructed report main site office 0800hrs following morning accompany project zh advisor local medical practice checkup precautionary measure,0
270 martin c,0
ndd works exposing existing gas line sw 130 excavation unknown vc pipe uncovered crossing trench 1135am,1
s4 footings backfill,0
access roads compound area,0
nice big bang due great planning josh gareth begsy nic forze well done involved rock start constructing formation embankments,0
clay excavation mcc0 mcd0,0
first piles going s3,0
malcolm ward available onsite assist required,0
swms delivery unloading pile rig,0
930am 24 07 18 hwc repair team arrived perform permanent repairs pipe,0
borrow pit haul road,0
long term signage set,0
approximately 200 litres diesel stolen machine 312,1
removed 2 x untagged leads fob1 container,0
s5 prelim design allow northern sg replacement,0
tr agreement,0
pos,0
7 poeo act follows time date nature duration location incident,0
tmp approval gain plant access get rail line side illawarra road,0
drawing reviews aconex workflow,0
commencing w 162 trench excavation foundation found unsuitable,1
establishing equipment,0
early morning rain caused certain works canceled slow progress,1
found level fluid also raised,0
dean identified potential risk using battery hammer drill falling height abutment level ground level abutments people working area,0
rock caught rear wheels travelled upwards forward motion caught cleaning pad,0
stock underpass crown mould fabrication,0
potential delay tas networks overhead power line relocation s3 bridge site,1
preliminary works progressing well,0
borrow pit haul road,0
applying mastercure 250 wall footing s04,0
s4 rock backfill,0
second borehole started approximately 130pm depth 115m end shift,0
chased cartage crane thh,0
good progress vec yard witnessed today 4 large nom 9m x 2,0
becam bogged,1
water main leakage,1
asbestos find,1
unsuitable foundations,1
digging stormwater drainage south west corner several conduits discovered,1
sewer leakage,1
unknown item found,1
struck underground service,1
delay monsoon,1
continue progressing tasrail actions contact made,0
completed drilling blasting contract approved vsjv board sent subcontractor signing,0
power installation new compound,0
organic clay,0
bore holes marked vsjv surveyor ps geotechnical investigation commencing monday,0
suggest remind people prestart meeting keep inside designated walkways still people walk access roads,0
delay shower,1
need full possession site commence contract works,1
tas water contractor plant operating within project defined no go zone,0
compaction test faliure package lhs ch 113100 113340,0
met landowners sign landowner agreements,0
faulty stop valve,1
140h sp roller ex 225 x 2 water cart drillers kmr drilling,0
start works fob1 set excavations prep etc,0
must manage design process ensure delays issue ifc drawings limited,1
fencing installed morning bill gilbert,0
stop typhoon,1
establishment set long term traffic management progressing well,0
5hrs hole,0
fine windy,1
unknown stormwater service,0
talked importance not standing next running lane traffic,0
precast panel production,0
345 meeting 4 9 18,0
windy cranes,1
piling put back due availability design,0
panel subcontractor temp works designer safety discussions around,0
safety circle meeting fob1,0
hail,0
potential delay live water main structure s3,1
tilt training day 2,0
resolved,0
conducted swms review compound roof slab set ensured barrier mesh around work site installed,0
continuing site establishment,0
light rain evening,0
new cylinders vpv awaiting results,0
hail condititons,1
stripping borrow pit,0
resulted rock caught within hydrant allowing water expel severely hydrant,0
site team complying cmp,0
machine operators,0
steel tank found,1
subgrade replacement,0
vocus installed conduit unrelated nlr crossing darby st,0
heavy rain stopped traffic closure setup,1
two toilets set onsite today,0
stripping borrow pit haul road towards mcj0 alignment,0
reminded employee regarding use gloves manual handling,0
permanent repair completed 1030am,0
following milling existing asphalt pavement wb eb union street worth place underlying concrete pavement found multiple longitudinal transverse cracks,0
foundation assessed material removed beyond design level drainage blanket installed,0
s4 panel subcontractor ready start awaiting ifc drawings,0
construct temp awning site office,0
pour booked next shift,0
loads 15 16 17 piles delivered diggas quarry heat numbers etc correspond anticipated delivery documents,0
inconsistent ongoing rain contributing work progress slow stopping times,1
grout spill,1
unexpected find asbestos pipe uncovered stabling yard,1
team committed achieving project objectives wait anticipation full possession site issued works not delayed,1
s6 rail corridor 5m exclusion zone delineation,0
excavation s3 abutments ready proof rolling 3 10 18,0
50 progress fob1 operating base,0
comments not provided tr poc transmission vsjv,0
windy,1
measuring retro fit toolboxes w gas struts,0
pile delivery requires tmp due tight access site,0
rain pouring today causing flood,1
confirmed pipe not huner water asset,0
spill kit life buoy ring sediment controls borrow pit,0
sub grade replacement s4,0
arranged meeting cemento rapido discuss installation rcp su fc monday mb working details,0
unabl isol water suppli,1
